song_id,entry_date,exit_date,days_on_playlist,best_rank,worst_rank,avg_rank,peak_popularity,avg_popularity
quien es dei v?_dei v,2024-09-24,2025-04-09,198,10,50,29.03553299492386,82,80.01015228426395
quizás si quizás no_alvaro diaz & quevedo,2024-11-25,2024-12-23,29,13,50,35.172413793103445,79,73.62068965517241
quién es dei v?_dei v,2025-06-16,2025-06-16,1,50,50,50.0,13,13.0
qué pasaría..._rauw alejandro,2025-11-17,2025-11-27,11,1,14,4.454545454545454,86,80.81818181818181
qué pecao_manuel turizo,2025-11-24,2025-11-27,4,34,44,39.0,55,49.0
qué pecao_manuel turizo & kapo,2025-10-06,2025-11-23,49,13,48,19.979591836734695,77,74.14285714285714
rang€ rov€r_cruz cafuné,2025-07-21,2025-07-21,1,47,47,47.0,53,53.0
rapapa_jc reyes,2025-10-20,2025-11-26,38,8,50,22.157894736842106,71,66.5
rapeadita love_rels b,2025-04-28,2025-04-28,1,44,44,44.0,65,65.0
rapido (with cris mj)_dei v,2025-06-16,2025-11-27,165,5,48,14.462962962962964,81,78.14197530864197
rara vez_taiu & milo j,2024-05-18,2024-12-13,210,15,50,33.142857142857146,92,89.77551020408163
"rauw alejandro: bzrp music sessions, vol. 56_bizarrap & rauw alejandro",2024-06-24,2024-10-13,112,1,50,23.08108108108108,93,87.98198198198199
razones_ozuna & anuel aa & mambo kingz,2025-06-30,2025-07-05,6,16,46,32.666666666666664,71,67.5
real gangsta love_trueno,2025-06-06,2025-11-16,164,1,50,18.272727272727273,92,87.66233766233766
reina_mora,2024-08-30,2025-04-17,231,1,45,15.491304347826087,89,84.58695652173913
remember me_duki,2024-07-19,2024-07-22,4,43,48,45.25,63,61.0
remix exclusivo_feid,2024-05-18,2024-06-04,18,43,50,47.1764705882353,88,87.23529411764706
revolú_rauw alejandro,2025-11-17,2025-11-23,7,10,33,24.428571428571427,77,73.14285714285714
"ride or die, pt. 2 (with villano antillano & tokischa)_sevdaliza & villano antillano & tokischa",2025-04-26,2025-05-12,17,26,50,40.0,86,83.4
ritmo de medallo_feid,2024-09-30,2024-10-01,2,37,37,37.0,0,0.0
ritual_myke towers,2024-11-25,2024-11-25,1,48,48,48.0,0,0.0
rko_eladio carrion,2025-01-21,2025-01-24,4,20,48,38.25,73,69.75
rockin' around the christmas tree_brenda lee,2024-12-24,2024-12-27,4,7,47,19.0,98,98.0
rockstar 2.0_duki,2024-06-25,2024-07-02,8,16,43,22.75,78,74.375
rockstar 2.0_duki & jhayco,2024-06-24,2024-06-24,1,14,14,14.0,71,71.0
romero santo_dellafuente,2025-06-16,2025-06-21,6,31,44,40.6,53,45.4
rompeolas_martin urrutia,2025-04-12,2025-04-18,7,39,45,42.0,69,68.5
rosas_la oreja de van gogh,2025-10-17,2025-10-26,10,30,50,42.5,81,70.2
rueda_rvfv,2025-06-02,2025-08-14,74,21,50,40.9,67,63.3
rápido_mora,2024-05-18,2024-05-24,7,41,49,44.0,82,81.71428571428571
s91_karol g,2024-07-16,2024-09-04,51,21,49,35.10204081632653,89,80.77551020408163
sangre y fe_cruz cafuné,2024-05-28,2024-06-16,20,6,50,30.65,74,71.45
santa tell me_ariana grande,2024-12-25,2024-12-27,3,17,29,25.0,96,96.0
santa_rvssian,2025-05-22,2025-11-27,190,2,43,13.797872340425531,84,81.65957446808511
santa_rvssian & rauw alejandro & ayra starr,2025-04-16,2025-05-21,36,1,34,3.3055555555555554,93,87.55555555555556
se fue_rauw alejandro,2025-11-17,2025-11-27,11,5,26,13.363636363636363,80,76.63636363636364
se grita_morad,2024-07-21,2024-08-05,16,46,50,47.125,85,84.5
se me olvida_maisak & feid,2025-08-24,2025-11-16,85,11,50,31.025316455696203,87,83.37974683544304
se pone las nike_cano,2025-11-06,2025-11-27,22,6,49,15.045454545454545,72,66.54545454545455
se te nota (feat. peso pluma)_myke towers,2025-08-24,2025-08-25,2,27,47,37.0,63,31.5
seda_bad bunny,2024-10-14,2025-02-13,123,6,50,25.201680672268907,90,85.32773109243698
sexesexy_mushkaa,2025-03-31,2025-04-13,14,40,49,44.333333333333336,57,52.5
sexo desenfrenado_myke towers,2025-08-24,2025-08-24,1,45,45,45.0,0,0.0
seya_gims,2024-10-21,2025-02-27,130,21,50,31.03669724770642,75,67.90825688073394
