best_rank,worst_rank,avg_rank,initial_rank,rank_improvement,rank_range,rank_volatility,avg_daily_rank_change,peak_popularity,avg_popularity,popularity_gap,playlist_entries,days_to_peak,stability_score
45,45,45.0,45,0,0,0.0,0.0,78,78.0,0.0,1,0,1.0
44,50,46.5,48,4,6,2.9999999999999996,3.3333333333333335,78,76.5,1.5,4,1,1.0000000000000002
38,38,38.0,38,0,0,0.0,0.0,77,77.0,0.0,1,0,1.0
37,50,45.21951219512195,49,12,13,3.574298498460583,1.15,75,74.1951219512195,0.8048780487804947,41,39,11.367863294776212
46,46,46.0,46,0,0,0.0,0.0,0,0.0,0.0,1,0,1.0
29,50,42.0,29,0,21,5.4740215820456655,1.4385964912280702,79,78.1896551724138,0.8103448275862064,58,0,10.194590667265782
19,50,37.0,40,21,31,7.993747556684536,1.96,90,88.58415841584159,1.4158415841584144,101,14,11.230023898650847
23,50,40.285714285714285,23,0,27,8.957571949925676,7.166666666666667,89,81.42857142857143,7.571428571428569,7,0,0.7029826181725203
16,50,32.2972972972973,33,17,34,11.227112186490704,3.2222222222222223,83,79.51351351351352,3.486486486486484,37,6,3.353203877960605
1,46,16.285714285714285,1,0,45,16.112883044322018,1.125,84,81.48979591836735,2.5102040816326507,49,0,2.8633398518000153
12,50,38.589285714285715,12,0,38,7.593920721052597,2.234234234234234,78,76.10714285714286,1.8928571428571388,112,0,13.61427499713654
7,45,23.0,7,0,38,13.971399357258385,7.6,78,75.0,3.0,6,0,0.4007641408009799
45,49,46.0,45,0,4,2.0,1.3333333333333333,70,70.0,0.0,4,0,1.3333333333333333
1,1,1.0,1,0,0,0.0,0.0,72,69.5,2.5,4,0,4.0
1,49,32.95,49,48,48,15.649028892016204,9.578947368421051,100,99.0,1.0,20,22,1.8619704609237353
15,48,30.428571428571427,15,0,33,13.100345324419797,5.5,85,69.57142857142857,15.42857142857143,7,0,0.4964417423080408
19,49,30.27536231884058,49,30,30,8.418963290186056,2.0441176470588234,73,71.21739130434783,1.782608695652172,69,28,7.431815778806084
26,44,36.285714285714285,26,0,18,7.761320457119088,3.0,72,49.714285714285715,22.285714285714285,7,0,0.7989663241129469
46,46,46.0,46,0,0,0.0,0.0,58,58.0,0.0,1,0,1.0
47,50,48.666666666666664,48,1,3,1.2110601416389974,0.8,92,89.66666666666667,2.3333333333333286,6,2,2.713630392501385
34,34,34.0,34,0,0,0.0,0.0,66,66.0,0.0,1,0,1.0
5,47,11.875,41,36,42,9.530124650919788,1.632183908045977,80,76.64772727272727,3.3522727272727337,88,43,9.116701196088364
46,47,46.5,47,1,1,0.7071067811865476,1.0,15,7.5,7.5,2,1,1.17157287525381
20,48,38.25,20,0,28,12.606215398233788,10.333333333333334,73,69.75,3.25,4,0,0.293983292409088
6,50,30.939393939393938,6,0,44,12.5696544153454,2.25,94,91.0909090909091,2.9090909090909065,33,0,2.43189686265566
27,42,37.0,27,0,15,8.660254037844387,7.5,94,94.0,0.0,3,0,0.3105508393720697
1,19,4.166666666666667,19,18,18,4.824454613615988,0.8695652173913043,78,72.54166666666667,5.458333333333329,24,20,4.120557475698161
9,50,22.36283185840708,50,41,41,12.436310565453269,1.7946428571428572,88,78.1858407079646,9.8141592920354,113,36,11.089353678911005
11,50,36.15929203539823,12,1,39,10.594444612020396,1.9464285714285712,75,71.96460176991151,3.0353982300884894,113,4,15.43842814294218
2,50,11.599439775910364,28,26,48,7.91629664011248,1.0561797752808988,97,90.92717086834732,6.072829131652682,357,40,40.487661477741725
8,50,26.472303206997086,37,29,42,11.851356040612558,1.891812865497076,94,90.00583090379008,3.994169096209916,343,26,33.2260656891463
6,50,17.065359477124183,8,2,44,10.33878314292862,1.3289473684210529,85,81.85620915032679,3.143790849673209,153,15,20.46074936574528
8,48,20.0,48,40,40,17.46015872943722,11.428571428571429,74,73.125,0.875,8,4,0.4333657211323388
1,50,21.695238095238096,43,42,49,16.515798852057134,1.8173076923076923,95,88.93333333333334,6.066666666666663,105,19,6.165862083265246
38,38,38.0,38,0,0,0.0,0.0,69,69.0,0.0,1,0,1.0
21,50,34.0,24,3,29,9.35117342607036,4.333333333333333,87,83.36842105263158,3.631578947368425,19,3,1.835540688763536
27,48,34.4,27,0,21,6.344496164310243,4.7894736842105265,70,66.0,4.0,20,0,2.723127570981351
31,47,39.5,41,10,16,6.608075867199671,7.333333333333333,64,60.0,4.0,4,3,0.5257571125499689
16,44,30.0,16,0,28,19.79898987322333,28.0,70,68.5,1.5,2,0,0.0961585159755669
2,4,2.5714285714285716,4,2,2,0.7559289460184546,0.4615384615384615,89,83.57142857142857,5.428571428571431,14,3,7.972987763397153
11,47,28.428571428571427,11,0,36,14.31615803741985,6.0,86,71.0,15.0,7,0,0.4570336753445523
9,50,30.466666666666665,9,0,41,14.96121971090911,3.0714285714285716,89,80.8,8.200000000000003,15,0,0.9397778034311414
36,50,41.7037037037037,42,6,14,3.8909640373050385,2.9615384615384617,78,73.77777777777777,4.2222222222222285,27,11,5.724842748062452
39,50,44.5,39,0,11,7.7781745930520225,11.0,56,56.0,0.0,2,0,0.2278378014471268
32,50,40.5625,48,16,18,5.7034346377131975,4.666666666666667,76,75.375,0.625,16,7,3.281899681131978
1,41,10.846153846153848,4,3,40,9.644170956843103,0.7053140096618358,85,79.79807692307692,5.20192307692308,208,3,19.729108152381905
